longitude,latitude,name,state,iata
-94.89125602,48.82738863,Lake of the Woods,Minnesota,27077
-118.5202943,48.37515755,Ferry,Washington,53019
-117.8473355,48.3751571,Stevens,Washington,53065
-119.7434085,48.47126468,Okanogan,Washington,53047
-117.2689825,48.39233357,Pend Oreille,Washington,53051
-116.4231053,48.66760116,Boundary,Idaho,16021
-115.4537068,48.37566313,Lincoln,Montana,30053
-114.1084247,48.29654482,Flathead,Montana,30029
-112.9623785,48.64730053,Glacier,Montana,30035
-111.7346753,48.69025043,Toole,Montana,30101
-111.0189475,48.60968974,Liberty,Montana,30051
-110.1274353,48.55035237,Hill,Montana,30041
-104.5459272,48.78873023,Sheridan,Montana,30091
-103.4987947,48.86434826,Divide,North Dakota,38023
-102.5475062,48.76550447,Burke,North Dakota,38013
-101.7578446,48.76420877,Renville,North Dakota,38075
-100.8426414,48.85913625,Bottineau,North Dakota,38009
-99.86018532,48.86153005,Rolette,North Dakota,38079
-99.23094034,48.63351761,Towner,North Dakota,38095
-98.4712226,48.86038553,Cavalier,North Dakota,38019
-97.54440303,48.77235653,Pembina,North Dakota,38067
-96.77555884,48.7723559,Kittson,Minnesota,27069
-95.75111465,48.8013057,Roseau,Minnesota,27135
-108.9712847,48.3393821,Blaine,Montana,30005
-107.8972836,48.26048025,Phillips,Montana,30071
-106.5378746,48.35135116,Valley,Montana,30105
-105.5330705,48.74560783,Daniels,Montana,30019
-121.7214237,48.82698866,Whatcom,Washington,53073
-116.5455932,48.35230729,Bonner,Idaho,16017
-101.4654433,48.19765184,Ward,North Dakota,38101
-93.76035313,48.21878819,Koochiching,Minnesota,27071
-121.7648966,48.47304379,Skagit,Washington,53057
-103.4384086,48.26220011,Williams,North Dakota,38105
-100.6262161,48.19500681,McHenry,North Dakota,38049
-92.42871145,47.64495162,St. Louis,Minnesota,27137
-123.0880277,48.54559906,San Juan,Washington,53055
-104.9319431,48.30443561,Roosevelt,Montana,30085
-102.3721355,48.25281056,Mountrail,North Dakota,38061
-96.36574384,48.34374119,Marshall,Minnesota,27089
-98.75345463,48.28246853,Ramsey,North Dakota,38071
-97.72944723,48.37046763,Walsh,North Dakota,38099
-94.84395197,47.96054982,Beltrami,Minnesota,27007
-100.0447604,48.19493874,Pierce,North Dakota,38069
-120.5457832,47.89864116,Chelan,Washington,53007
-112.4603077,48.23434322,Pondera,Montana,30073
-124.1766216,48.12988301,Clallam,Washington,53009
-99.48983093,48.12097744,Benson,North Dakota,38005
-110.4817439,47.86609437,Chouteau,Montana,30015
-121.692958,48.03600801,Snohomish,Washington,53061
-122.6234275,48.13762824,Island,Washington,53029
-115.1617527,47.66771677,Sanders,Montana,30089
-91.40938122,47.71977811,Lake,Minnesota,27075
-98.20418415,47.96643657,Nelson,North Dakota,38063
-97.45652498,47.93640776,Grand Forks,North Dakota,38035
-96.66882336,47.83691546,Polk,Minnesota,27119
-96.04570159,48.09565356,Pennington,Minnesota,27113
